camera,subset,image,dice,cldice,precision,recall,gt_frac,pred_frac
Neo,Neo_Vessels_images,32.png,0.5079216946697462,0.5799391152230406,0.45089835490856517,0.5814561669093474,0.05825427720107651,0.07512182814302192
Neo,Neo_Vessels_images,33.png,0.518281267101784,0.5989778020762693,0.46099218101513584,0.5918300223654782,0.05479382929642445,0.07034529988465975
Neo,Neo_Vessels_images,34.png,0.48877391466243353,0.5014669102896285,0.44213056173913484,0.5464194053208138,0.07677335640138408,0.09488249711649366
Neo,Neo_Vessels_images,35.png,0.4856200615806068,0.5255484950563537,0.44993496679883943,0.5274532620135993,0.0778515474817378,0.09126441753171857
Neo,Neo_Vessels_images,36.png,0.5141543250941362,0.5920612627405029,0.4524494940165791,0.595347515396725,0.06426062091503268,0.08455618031526337
Neo,Neo_Vessels_images,37.png,0.5072916278318359,0.5528344100522253,0.4502699661921806,0.5808497620182559,0.06754950019223376,0.08713908112264514
Neo,Neo_Vessels_images,38.png,0.5281524957257829,0.6061178770600919,0.567087913317961,0.49422007609013757,0.09852941176470588,0.08586889657823914
Neo,Neo_Vessels_images,39.png,0.5384860150848523,0.5852469213194537,0.4893317769186559,0.5986182742402474,0.05502426951172626,0.06731329296424453
Neo,Neo_Vessels_images,4.png,0.5160192927880362,0.5649654803563572,0.5292891602004652,0.5033985321904663,0.06473015186466743,0.0615638216070742
Neo,Neo_Vessels_images,40.png,0.433334109646467,0.4776856862983799,0.5522322720426198,0.35656419027360575,0.05015643021914648,0.032384900038446754
Neo,Neo_Vessels_images,41.png,0.43909100144349233,0.4584871964644999,0.39198144047242434,0.49907091147343774,0.04474336793540946,0.056967272202998846
Neo,Neo_Vessels_images,42.png,0.5331239896258563,0.6026693281463004,0.5910973565441651,0.48550669378071515,0.05671856978085352,0.046586649365628605
Neo,Neo_Vessels_images,43.png,0.4899014559659091,0.5619968085542252,0.4763040206291235,0.5042980597330348,0.042070117262591314,0.04454272395232603
Neo,Neo_Vessels_images,44.png,0.47584465452117114,0.5285527482010661,0.5774090787081352,0.4046653108018414,0.06769968281430219,0.047445934256055367
Neo,Neo_Vessels_images,45.png,0.5335215836001317,0.6185574565121373,0.4608041831262762,0.6334896948327247,0.04579584775086505,0.06295775663206458
Neo,Neo_Vessels_images,46.png,0.46732414904639474,0.5543558164717932,0.6441925489307035,0.3666557704218567,0.055866974240676666,0.03179786620530565
Neo,Neo_Vessels_images,47.png,0.4831486969246689,0.5423762888397855,0.5649095045000494,0.4220625036946541,0.04877835447904652,0.03644391580161476
